tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1500,2014-01-31 11:22:25,2014-01-31 11:47:25,52,E 33 St & 1 Ave,40.74402,-73.97196,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20050,Customer,1993,2
900,2014-01-31 07:42:30,2014-01-31 07:57:30,60,Columbus Ave & W 72 St,40.77813,-73.97371,44,St James Pl & Pearl St,40.71117,-74.00016,20106,Customer,1966,0
840,2014-01-31 15:51:48,2014-01-31 16:05:48,28,Stanton St & Chrystie St,40.72229,-73.99147,47,E 20 St & Park Ave,40.73818,-73.98433,20138,Subscriber,1966,1
2040,2014-01-31 12:52:41,2014-01-31 13:26:41,44,St James Pl & Pearl St,40.71117,-74.00016,60,Columbus Ave & W 72 St,40.77813,-73.97371,20063,Customer,1974,0
2100,2014-01-31 12:22:32,2014-01-31 12:57:32,28,Stanton St & Chrystie St,40.72229,-73.99147,60,Columbus Ave & W 72 St,40.77813,-73.97371,20027,Subscriber,1993,2
1800,2014-01-31 13:05:50,2014-01-31 13:35:50,44,St James Pl & Pearl St,40.71117,-74.00016,60,Columbus Ave & W 72 St,40.77813,-73.97371,20364,Customer,1984,1
1020,2014-01-31 11:15:19,2014-01-31 11:32:19,47,E 20 St & Park Ave,40.73818,-73.98433,41,Grand St & Elizabeth St,40.7185,-73.9972,20434,Customer,1972,0
720,2014-01-31 09:00:00,2014-01-31 09:12:00,7,Washington Square E,40.73049,-73.99572,60,Columbus Ave & W 72 St,40.77813,-73.97371,20001,Subscriber,1954,2
1020,2014-01-31 18:28:49,2014-01-31 18:45:49,60,Columbus Ave & W 72 St,40.77813,-73.97371,28,Stanton St & Chrystie St,40.72229,-73.99147,20093,Subscriber,1987,2
540,2014-01-31 09:42:09,2014-01-31 09:51:09,8,Hudson St & Reade St,40.71534,-74.00915,47,E 20 St & Park Ave,40.73818,-73.98433,20372,Customer,1993,1
1500,2014-01-31 14:43:08,2014-01-31 15:08:08,52,E 33 St & 1 Ave,40.74402,-73.97196,47,E 20 St & Park Ave,40.73818,-73.98433,20029,Subscriber,1959,2
1380,2014-01-31 08:43:36,2014-01-31 09:06:36,8,Hudson St & Reade St,40.71534,-74.00915,60,Columbus Ave & W 72 St,40.77813,-73.97371,20011,Subscriber,1998,1
780,2014-01-31 12:58:41,2014-01-31 13:11:41,60,Columbus Ave & W 72 St,40.77813,-73.97371,47,E 20 St & Park Ave,40.73818,-73.98433,20075,Customer,1969,1
1140,2014-01-31 18:57:43,2014-01-31 19:16:43,28,Stanton St & Chrystie St,40.72229,-73.99147,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20477,Customer,1973,1
2040,2014-01-31 09:53:18,2014-01-31 10:27:18,8,Hudson St & Reade St,40.71534,-74.00915,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20060,Customer,1960,0
420,2014-01-31 16:15:11,2014-01-31 16:22:11,44,St James Pl & Pearl St,40.71117,-74.00016,28,Stanton St & Chrystie St,40.72229,-73.99147,20451,Subscriber,1986,1
1740,2014-01-31 14:12:25,2014-01-31 14:41:25,44,St James Pl & Pearl St,40.71117,-74.00016,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20149,Customer,1992,2
960,2014-01-31 17:46:18,2014-01-31 18:02:18,7,Washington Square E,40.73049,-73.99572,52,E 33 St & 1 Ave,40.74402,-73.97196,20332,Subscriber,1967,2
900,2014-01-31 16:42:52,2014-01-31 16:57:52,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,28,Stanton St & Chrystie St,40.72229,-73.99147,20187,Customer,1997,2
1860,2014-01-31 09:29:42,2014-01-31 10:00:42,60,Columbus Ave & W 72 St,40.77813,-73.97371,47,E 20 St & Park Ave,40.73818,-73.98433,20336,Customer,1982,2
900,2014-01-31 08:22:08,2014-01-31 08:37:08,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,20107,Subscriber,1968,0
1320,2014-01-31 15:33:34,2014-01-31 15:55:34,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,60,Columbus Ave & W 72 St,40.77813,-73.97371,20090,Subscriber,1975,0
1020,2014-01-31 17:18:37,2014-01-31 17:35:37,9,W 52 St & 9 Ave,40.7644,-73.9878,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20368,Subscriber,1997,0
540,2014-01-31 12:34:48,2014-01-31 12:43:48,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,60,Columbus Ave & W 72 St,40.77813,-73.97371,20195,Subscriber,1975,1
1920,2014-01-31 17:42:19,2014-01-31 18:14:19,9,W 52 St & 9 Ave,40.7644,-73.9878,47,E 20 St & Park Ave,40.73818,-73.98433,20428,Subscriber,2002,0
360,2014-01-31 13:22:44,2014-01-31 13:28:44,52,E 33 St & 1 Ave,40.74402,-73.97196,47,E 20 St & Park Ave,40.73818,-73.98433,20400,Customer,1956,2
720,2014-01-31 14:12:27,2014-01-31 14:24:27,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,52,E 33 St & 1 Ave,40.74402,-73.97196,20377,Customer,1950,0
1020,2014-01-31 11:53:19,2014-01-31 12:10:19,52,E 33 St & 1 Ave,40.74402,-73.97196,47,E 20 St & Park Ave,40.73818,-73.98433,20098,Customer,1989,0
540,2014-01-31 13:38:52,2014-01-31 13:47:52,9,W 52 St & 9 Ave,40.7644,-73.9878,41,Grand St & Elizabeth St,40.7185,-73.9972,20196,Customer,2002,1
660,2014-01-31 07:12:53,2014-01-31 07:23:53,41,Grand St & Elizabeth St,40.7185,-73.9972,44,St James Pl & Pearl St,40.71117,-74.00016,20178,Subscriber,1987,0
1620,2014-01-31 13:56:33,2014-01-31 14:23:33,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,28,Stanton St & Chrystie St,40.72229,-73.99147,20412,Subscriber,1972,1
540,2014-01-31 09:08:06,2014-01-31 09:17:06,47,E 20 St & Park Ave,40.73818,-73.98433,44,St James Pl & Pearl St,40.71117,-74.00016,20048,Subscriber,2001,1
1080,2014-01-31 17:38:54,2014-01-31 17:56:54,52,E 33 St & 1 Ave,40.74402,-73.97196,28,Stanton St & Chrystie St,40.72229,-73.99147,20200,Customer,2004,1
660,2014-01-31 13:21:55,2014-01-31 13:32:55,60,Columbus Ave & W 72 St,40.77813,-73.97371,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20028,Customer,1981,2
660,2014-01-31 16:33:28,2014-01-31 16:44:28,52,E 33 St & 1 Ave,40.74402,-73.97196,60,Columbus Ave & W 72 St,40.77813,-73.97371,20283,Customer,1978,1
1560,2014-01-31 10:57:37,2014-01-31 11:23:37,7,Washington Square E,40.73049,-73.99572,33,Greenwich Ave & 8 Ave,40.73902,-74.00264,20145,Subscriber,1966,0
840,2014-01-31 08:27:16,2014-01-31 08:41:16,52,E 33 St & 1 Ave,40.74402,-73.97196,44,St James Pl & Pearl St,40.71117,-74.00016,20179,Customer,1965,1
2100,2014-01-31 08:31:16,2014-01-31 09:06:16,47,E 20 St & Park Ave,40.73818,-73.98433,60,Columbus Ave & W 72 St,40.77813,-73.97371,20167,Customer,1965,0
